fecha,producto_id,nombre,categoria,subcategoria,precio_base,es_estrella,unidades_vendidas,precio_venta,ingresos,Amazon,Decathlon,Deporvillage,año,mes,día_mes,día_semana,día_semana_num,es_fin_semana,es_lunes,es_viernes,es_sabado,es_domingo,es_festivo,nombre_festivo,es_black_friday,es_cyber_monday,es_temporada_navidad,es_inicio_año,es_verano,es_cuarentena_pascua,num_semana,trimestre,día_año,días_hasta_fin_año,mes_tiene_31_dias,día_en_mes,es_fin_mes,es_inicio_mes,descuento_porcentaje,precio_competencia,ratio_precio,lag_1_unidades_vendidas,lag_2_unidades_vendidas,lag_3_unidades_vendidas,lag_4_unidades_vendidas,lag_5_unidades_vendidas,lag_6_unidades_vendidas,lag_7_unidades_vendidas,media_movil_7_unidades_vendidas
2025-11-01,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,,115.0,,81.78,117.08,102.97,2025,11,1,Saturday,5,True,False,False,True,False,True,Todos los Santos,False,False,True,False,False,False,44,4,305,60,False,1,False,True,0.0,100.61000000000001,1.1430275320544676,14.0,10.0,14.0,15.0,16.0,20.0,26.0,16.428571428571427
2025-11-02,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,,115.0,,86.36,110.03,96.83,2025,11,2,Sunday,6,True,False,False,False,True,False,,False,False,True,False,False,False,44,4,306,59,False,2,False,True,0.0,97.74,1.1765909555964804,,,,,,,,
2025-11-03,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,,115.0,,80.95,111.73,105.86,2025,11,3,Monday,0,False,True,False,False,False,False,,False,False,True,False,False,False,45,4,307,58,False,3,False,True,0.0,99.51333333333334,1.155624036979969,,,,,,,,
2025-11-04,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,,115.0,,89.83,120.46,106.37,2025,11,4,Tuesday,1,False,False,False,False,False,False,,False,False,True,False,False,False,45,4,308,57,False,4,False,False,0.0,105.55333333333333,1.0894966209814945,,,,,,,,
2025-11-05,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,,115.0,,88.32,114.45,98.06,2025,11,5,Wednesday,2,False,False,False,False,False,False,,False,False,True,False,False,False,45,4,309,56,False,5,False,False,0.0,100.27666666666666,1.146827111657747,,,,,,,,
2025-11-06,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,,115.0,,95.91,119.89,93.57,2025,11,6,Thursday,3,False,False,False,False,False,False,,False,False,True,False,False,False,45,4,310,55,False,6,False,False,0.0,103.12333333333333,1.115169538093545,,,,,,,,
2025-11-07,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,,115.0,,87.44,108.78,103.82,2025,11,7,Friday,4,False,False,True,False,False,False,,False,False,True,False,False,False,45,4,311,54,False,7,False,False,0.0,100.01333333333332,1.1498466871083857,,,,,,,,
2025-11-08,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,,115.0,,88.92,110.37,106.09,2025,11,8,Saturday,5,True,False,False,True,False,False,,False,False,True,False,False,False,45,4,312,53,False,8,False,False,0.0,101.79333333333334,1.1297399960704695,,,,,,,,
2025-11-09,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,,115.0,,87.49,117.96,99.82,2025,11,9,Sunday,6,True,False,False,False,True,False,,False,False,True,False,False,False,45,4,313,52,False,9,False,False,0.0,101.75666666666666,1.1301470829102107,,,,,,,,
2025-11-10,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,,115.0,,83.89,112.42,103.57,2025,11,10,Monday,0,False,True,False,False,False,False,,False,False,True,False,False,False,46,4,314,51,False,10,False,False,0.0,99.96,1.1504601840736295,,,,,,,,
